clean_text,label
saran saya si ni game bagus sebenernya tapi tambahin fitur semacem dash bisa dodge serang musuh gitu bagus harus stage saja saya kewalahan ngelawan musuh rame gitu soal animasi serang gabisa cancel ngebikin saya ditembakin mulu ampe mati,positif
game nya bagus simple ramah seru cocok main sama sepupu tapi boonk,negatif
bagus ada fufufafa tapi ada sahroni tidak mati mati,netral
game nya bagus banget sumpahgua sampe tidak download,negatif
bagus tapi kalo bisa pas musuh lempar belakang masih bisa pukul biar bisa combo kayak dmc  hebat sama juga bisa combo aerial juga pas lagi udara mwehehehehe,positif
game nya sangat bagus saya ingin sol bagai rakyat biasa,positif
game nya bagus banget bg jangan semangat ,negatif
game apa rad banget jangan donglot bagi hapenya kentang btw bintang lima good game,negatif
lebih seru kalo gamenya bisa mabar,netral
game nya bagus kece badai jadi saya kasih bintang karena saya siggma wing skibidiy ,negatif
game nya seru tapi karakter kurang banyak coba tambahin lagi kaya bahlil dll pasti bagus tambahin lagi musuh nya kaya ambaruwo dlm,positif
game nya bagus guwa kasih bintang plus sigma,negatif
bgus  tapi sayang grafik buriq kek ep ep,positif
gamenya sangat bagus sangat jarang ada game tualang tentang jokowi tapi tolong tambahin karakter bapak jokowi ibu jokowi anak jokowi kakek jokowi nenek jokowi kakek buyut jokowi nenek buyut jokowi sudara jokowi teman jokowi sahabat jokowi pacar jokowi followers jokowi teman dekat jokowi dll tolong tambahin juga fitur mode depo grafik anime mode hemat data anti korup multiplayer online mode survival hardcore mode sejarah sedikit saja ,positif
sherlok tidak paran ,positif
bagus sekali saya sampai kamar mandi x game sangat cocok main oleh anak muda sang sama jokowai,positif
gime ny jwlek ad bokep nta,negatif
bg gemnya kok tidak ada fitur telkomsel ,negatif
,positif
tetapi rewardnya gimana,negatif
game nya bagus bagus hapus,positif
game nya bagus ,positif
gamenya bagus tapi kalo bisa tambahin psht sama kera sakti jadiin sama tambahin si sahroni jadi bos senjata si piala sendiri,negatif
game nya tidak bagus karena saya belum mainin  kalo jelek saya laporin developer nya karena tidak bisa buat game minimal buat game hd  jangan jokowi,netral
jelek ah karakter nya kgk bisa comlay pake rinso,negatif
bagus grafik juga oke,negatif
game nya bagus tapi ada kurang jokowi nya tidak bisa ngomong wiwokdetok,positif
tolong tambah skin jokowi pancing ahmad syahroni ulti,negatif
hidup jokowi,positif
game aneh,negatif
bagus gamenya,positif
sangat bagus,positif
game sangat bagus kualitas nya lebih flim karya anak bangsa baru indonesia one for all,positif
jokowi in big  ,positif
tolong kembali beberapa ciri khas game belum update besar seperti nama nama boss unik contoh heru kelink maman ade konde dkk lalu mekanik lebih baik kembali seperti dulu tidak ada kombo otomatis tapi buat lebih tarik tidak monoton kembali juga mekanik hancur kotak barrel isi senjata heal bisa guna lalu ukur map juga terlalu besar kamera terlalu jauh karakter lebih baik seperti dulu,negatif
hidup jokowi,positif
game sangat bagus sangat inspirasi golong mudah moga game jadi game of the year,positif
buat open world bang tema tema indonesia gituu,positif
bagus banget game nya hebat abis saran tambah skin psht biar tambah rame game nya mainin sudah segitu saja terimakasih sudah buat game bagus banget,positif
terimakasih pak jokowi,positif
tolong update lagi lebih bagus tambah ceritacombo serangannyamap nyaatau bos nya tambahin sumpah game lumayan tarik seru,positif
goty kalah si botak kembar universe,positif
next buat tualang prabowo bang,positif
developer moga tidak ilang ya bang wkwkwkwk,positif
ya ya ya saya tuju kembang lagi gamenya,positif
tidak ada goronggorongnya,negatif
tualang mulyono,positif
lebih bagus game upin ipin universitas wkwokwowkwkwowi,positif
tolong upgrade lagi  ilangin pak ahoknya,positif
jelek,negatif
master piece,positif
mana part nya,positif
tolong buat developer buat jokowi vs prabowo jamin jt download ,netral
gamenya bagus lebih tualang game belah lebih banyak bug nya tingkat lagi game tambah lagi characternya juga skill nya lebih op,positif
bagus btw kapan ada tualang jokowi,positif
gamenya bagus bang,positif
gamenya lebih bagus upin ipin universe,positif
mekanisme gamenya sangat bagus hebat saran saya tolong tambah karakter bahlil luhut gibran natalius pigai kaesang sambo sri mulyani nasution tolong tambah elemen tiap karakter contoh bahlil milik elemen tambang bisa keluar emas batu bara dllnya seperti gibran bisa ubah jadi robot ai seperti luhut bisa keluar listrik seperti natalius pigai jadi ambaruwoe hytam,positif
better than upin ipin game,positif
game baik saya main lama,positif
gamenya sudah bagus segi grafik cerita tapi kontrol bug baik lagi saya tidak nyaman bug nya apalagi jalan lambat banget kontrol juga sangat lambat tidak sesuai pas tekan agak delay kalo bisa gera nya ubah lari saja jangan jalan soal lambat sekali,netral
sengaja kasi bintang karena hero mega chan alias mega wati belum ada pliss update biar makin rasa muak perintah ,negatif
update jadi lebih bagus ,positif
game nya bagus hd beut tapi baik  bodyguard nya masa saling adu jotos  paok,positif
sangat reqomendet,positif
game mantab asa kaya bangun dinasty kuasa game lain lewat pokok ,positif
jujur sj saya tidak rasa unsur jokowi darimanapun selain skin nyatapi overall game sangat asik tidak ada rewardiklan mengganggusaran saya  mgkin last stage ada macam hadiah upacara nobat presiden stelah musnah terorissekian trimxs terus semangat developer,positif
game upon upon mahal mendinh,positif
kalau main jamin anda auto sigmaa,positif
sangat bagus,positif
bagus gamenya,positif
game saya rekomendasi karena bagus tantang unik baik main,positif
anjjokowi jamsutawokawok prabowo pshtahok seluncur mantap wak teruskantambahin level nya  btw,positif
game sangat seru,positif
umat manusia harus tau game,positif
endingnya tidak ada ijazah gimana,positif
gamenya sangat baguskeren banget pokok,positif
tolong updatean lanjut dibenerin bug nya analog sudah gerak tapi karakter jalan tempat animasi gera rangin pas selesai mu orang gaya muternya lama nambah nambahin level tapi deg ma hp gaada rasa sama sekali sampe bosen main game ulang ulang terus buat ngumpulin uang  malah gada rasa,negatif
aseli kalo main game rasa sigmany rasa guys kaya ngefly gitu tidak kasih bintang wok,positif
adminnya asik bjir,positif
sangat bagus karena game ingat baik pakde jokowi,positif
terimakasih pak jokowi,positif
game bagus cocok main ketika pusing antuk saat main hsr ,positif
wong tuek nggo dolan,positif
jokowi sniper op,positif
bagus,positif
bgus,positif
game of the year yansunkakibieb my goat,positif
game bagus bahkan lebih bagus hsr sama genshin  grafik wow wow banget omgg love u depeloper ,positif
jokowi pake sniper gimana cerita,negatif
jokowi nya op pake sniperr,positif
bang tambahin karakter fufufafa,positif
seruu seruu ,positif
hidup jokowii,positif
belum login wok tapi ana kasing b terima kasih pak jokowii,positif
game apa dawg ,positif
game baik pernah saya main,positif
game ny sangat bagus gamenya sangat bagus game nya sangat bagus,negatif
level rame banget woy ,positif
kontrol susah darah tidak jelas,negatif
hidup jokowii,positif
game apa susah mainin mati mulu,negatif
kapan updatenya kak,positif
game ny bagus tapi tolong tambah karakter nya,positif
bagus saya suka jokowi ,positif
game baik panjang masa hidup jokowii,positif
seru banget game mulyono satu size ringan kita bisa ajar politik lebih dalam harap saya depan game jadi open world tema kota surakarta,positif
bagus gamenyatambah lagi karakter keluarga mulyono,positif
sangat tantang adrenalin buat birah getar,positif
kerenn,positif
bagus man,positif
gamenya bagus tapi mohon boleh tambahin karakter kaesang,positif
game aneh kaya nama,negatif
hama,negatif
hero overpower,positif
gg walau gajelas,positif
incredible,positif
bagus bang sekali tambahin presiden lain,positif
oke gas oke gas,negatif
game sangat bagus orang indonesia tolong baik bug saya sudah beli jokowi pas mau reset tiba tiba jokowi ku hilang lagi kunci lagi tapi game sangat bagus sekali,positif
tambahin cerita  min,positif
bagus game nya kalau boleh req plis tambahin mega  jadi boss nya pasti bagus,positif
segi game play bagus tapi ada kurang kaya misal musuh pake senjata nah pas dia mati bisa ambil harus ya gitu saja  saya anak kucai,netral
sagat asik,positif
jejek,negatif
game nya bagus,positif
grafik bagus bagus sekali gamenya,positif
nice,positif
plis sigma developer kasih saya aura biar menang ngelawan fanum tax soal terlalu big l sangat tidak sah main luar ngeri jadi plis tambahin karakter unnie sama youngme biar enak lihat,negatif
awoakawok tualang mulyono,positif
game sangat buat dev update depan kasih karakter baru bapak maruf amin kasih skill diem tapi mati,netral
bagus game nya,negatif
woy saya sudah download kenapa tidak bisa mainin tiap kali loading keluar mulu malas banget mending main game bayi saja  main game ngeleg gin,negatif
game nya seru terus tidak pake paket,positif
gibran mati masih bisa jalan,negatif
tolong  masa nge ulti darah kurang  tolong update ikut ngultinya ada kuldon nya tidak usah darah nya kurang oke devoloper,positif
pajril,negatif
bagus,positif
game jelek anj ,negatif
geme yah bagus bagus,positif
sangat seru,positif
era prabowo skrg bang,negatif
terlalu susah awal nya susah si musnahin,negatif
jelek kyk jokowi,negatif
titik,positif
saran kalau bisa tambahin anies sama rocky gerung,netral
bagus ada gibran,positif
the basurd game sih,positif
game nya seru sudah gitu saja saya males nulis,positif
game jelek def nya pasti smp,negatif
saya suka game karena saya sigma skibidi ,positif
mantapp gann mungkin tambahin lagi karakter min hallo admin ganteng,positif
bang coba tambahin kaya megawati ganjar anies bj habiebie soekarno semangat bang,positif
gamenya ngawurr poll mantapp  lain kli bikin lebih ngawur dev ahok njir,positif
mantep  game nya tapi agak laen,positif
developer dungu,negatif
game nya bagus ,positif
ahoknya bengak,negatif
bagus  cuma gime nya terlalu susah coy pdhl baru lvl pertama ,positif
anjirr lahh,positif
gamenya sangat gambar budaya indonesia mana tangan cipta pukul pukul develepor baik,positif
tualang pak jokowi seru banget,positif
 ko ada bakso,positif
hibur sekali,positif
saya mau seprei gratis ,positif
tidak ada fitur seks,positif
jokowi for periode,positif
game nya bagus banget tapi kurang game engak ada lv baru nya mohon banget moga updet,positif
game nya bagus banget njirr,positif
seru banget tapi tambahin sukarno,positif
susah banget gameny,negatif
bagus awokawkokwok,positif
game bagus pak jokowi bisa salto,positif
game nya bagus saya taro bintang,negatif
bagus bang karakter tapi sayang cuma sedikit karakter kasih dulu tutor,positif
saya suka,positif
mungkin sangat bantu anda aplikasi seperti nya bagus,positif
saya bangga jadi rakyat indonesia  moga negara republik indonesia sabang sampai merauke selalu dalam lindung allah swt aamiin yaa allah aamiin ,positif
tidak bagus ada nuansa politik nya tidak netralerror masa polisi tembakin terus sampai matigak bisa ngelawanini game sangat buruk,negatif
mat ngarit,positif
gamenya sangat tolol,negatif
,positif
admin musuh harus tambah seperti helena lim harvey mois dkk lai biar lebih seru lagi,netral
kapan bikin sekuelsekalian masukin telur windaw batubara biar rame,positif
game nya bagus banget,positif
tidak jelas game nya,negatif
game nya sangat bagus sekali,positif
harus awal main kasih tutor dlu harus ngapain bisa lanjut misi lanjut segera baik,negatif
segi game bagus karya anak bangsa harus apresiasin terus kembang bagus walau ada beberapa bug,positif
game pepek,negatif
game indonesia bagus,positif
game nya the best salut sama game lokal,netral
games sangat baik bisa jadi orang sukses,positif
gamenya bagus tapi tolong karakter nya tambah,positif
game nya sudah bagus mintambahin juga level ny biar seru,positif
gamenya bagus banget ada susah ada gampang bagus pokok tapi level masih dikit diupdate lagi gamenya level nya banyakkin karakter tambahin powerupnya juga tambah saja  moga diupdate besar,positif
grafik jelek sakit mata,negatif
sudah win ah lawan heru kelink tidak ada lanjut lagi seru jink,positif
game nya bagus bagus bet sudah wajib download btw aman tidak  takut ada tukang bakso ,positif
waduh,positif
game nys bagus tapi banyak bug kurang p u a n m e g a c a n uwuww,positif
game gimick,negatif
game sangat seru sungguh hibur ,positif
tidak bisa download,negatif
gambar jokowi memang bagus kamu bagus sumpah saya senang,positif
kok tidak ada megawati,positif
muncul kelompokkelompok masyarakat tidak mudah bagi kita wajib tahu tempe bacem tempe bacem wajib tahu tempe bacem tempe bacem wajib tahu cinta musik mulai tanggal kamis jumat tidak tahu bagaimana cara dapat backlink gratis bisa kita wajib tahu tempe bacem tempe bacem wajib tahu tidak ada komentar baik tempe tidak mudah bagi kita wajib tahu cinta mus,positif
ini game bagus bet sudah hhahah,positif
bagus guys main buru donlowad  pasti nagih ,positif
gemya sangat bagus sekali,positif
saya takutt,positif
bagus tingkat bakat tapi lebih bagus tambah banteng merah,positif
game nya tidak biya dowload,netral
gamenya bagus buat isi waktu luang,positif
worti,positif
enak banget  game,positif
tidak bisa install,negatif
game nya bagus tolong banyakin lagi karakter nya bangg pliss,positif
tidak ad jahat megawati nya tidak seruterus tambahin pitur lawan bos koruptor utama puan sama mega bos kuat,positif
,netral
gemnya bagus,positif
oke sudah,positif
bagus,positif
helo developer buat game tualang jokowi  kenapa kita kasih senjata biasa saja sedang bos pakai kacamata hitam sedang dia pakai tongkat bola bisbol apakah curang kenapa bos pakai kacamata hitam tambah darah cepet banget kalo dia kabur saya tembak atu pakai pisau atu katana tembus apa luar nalar sudah saya benar game anda bagus tapi banyak kurang,positif
gema ane,positif
gatau belum coba ,positif
keren,positif
geme seru panter buat nunggu buka puasa,positif
weh ngawwuoor iki game sopo ki seng nggawe ,negatif
bagus cuy kwkwkkwk,positif
gamenya bagus btw developer aman,positif
mohon tingkat lagi kalo game nya kaya free firemobile legend lebih seru,positif
min coba tambahin karakter jesus supaya bisa jokowi vs jesus,positif
nama nya hina jokowi,positif
payah nama hina presiden,positif
bang saran tambahin megachan,positif
mekanik lumayan seru juga cukup sulit bagus sudah,positif
game nya memang sudah ijin nin sama bapak jokowi,negatif
ko gabisa install,negatif
asa banget makar nya,positif
kayak kalau game jadi konten youtube pasti bagus ,positif
gabisa diinstal awokwk,negatif
harus tambah karakter pimpin pki tn aidit,positif
game nya bagus seru lagi bisa bikin emosi pesan buat bikin game hatihati nanti ciduk intel,positif
kasih ultimate bansos ngab,negatif
tidak bisa banding bandingke peran pertama orang indonesia,positif
penting jokowi,positif
game apa  ajg kok ada jokowitapi gpp  seru sedikit,positif
game bagus banget anak saya suka main ny,positif
anjir ngakak cok jokowi dalam game,positif
bagus banget,positif
ezz bet,netral
anjass ngab owii cuyy,positif
game nya bagus banget rekomendasi baut main,positif
tambah karakter lain dongmsh ada bu megapuandll,positif
tambahin boss battle lawan megawati puan ferdy sambo,positif
gpp ,netral
kamu nanya,positif
saya kasih bintak lima karena gema bagus,positif
semangat pakde,positif
bikinin game tualang jokowi nyalon capres periode,positif
game nya jelek banget burik lebih game seblahgak bisa download,negatif
gajelas jokowinya,negatif
siap periode,positif
main annya sant seru tualang jokowi,positif
inti bagus,positif
lumayan,netral
ampas jokowi mas gembok mending buat karakter maruf amin,negatif
apakah ada tarung antara pdi vs golkar,positif
hegs,positif
gamenya seru ada karakter pak jokowinya tambahin lagi level biar makin seru,positif
jokowi gaada dameg nya bg ,positif
grafik bagus kalau nonong,positif
bugus,negatif
b ajh,positif
tolong bantu saya cepattin download nya ya terima kasih saya minta tolong cepattin download nya ya terima kasih,positif
game bagus tapi agak ngebag segdikit,positif
kerenn banget kalo bisa tambah lagi karakter bang,positif
tidak jeas gamenya,negatif
fbi dsini,positif
nice pak jokowi,positif
bagus game nya sangat hd,negatif
game nya bagus sudah tu saja ya adek,positif
good,positif
sedikit saran kalau bisa tambahin megawati jual pulau ,positif
gamenya serulucu ngakak wkwkwkwk tolong bang tambah lagi level plis bang,positif
tolong tambah buk puan,positif
penting rating,positif
gajelas,negatif
so bakso,positif
hello kenal saya cherry saya coba main game overall game saya rating tapi saya kasi bintang game lumayan seru mainkantetapi ada banyak bugtolong segara baik yasaya suka main game sangat hibur saya buat saya tertawasaya juga rekam main game walaupun saya kasi short cut vid nya mungkin kapan kapan saya akan postterima kasih game walau bikin saya cape tapi giving me joy gitu paham  yathx,positif
gamee nyaa seruu skksksksks,positif
oke,positif
game paling bagus karya anak bangsa ,positif
ahok nya bagus bagus banget awal awal karakter pak jokowi prabowo juga tidak kalah bagus pakai dalam tempur next update tolong pak prabowo skillnya bisa summon tni,positif
kamu nanya game nya bagus atau tidak,positif
game sangat muas,positif
game nya bagus banget tapi tidak tau kenapa tiap saya main game kok tibatiba ada tukang baso lewat ya,positif
seru karena ada jokowi,positif
asik  game tapi agak ada ngebug,positif
game jelek saya saja baru cobain pokok jangan download titk,negatif
bagus semangat,positif
saya rasa jadi super jokowi,positif
game nya bagus banget sh hahah,netral
game nya baguss,positif
anjay ni game seru bet gua langsung kasih bintang sudah seru bet,positif
tidak bisa main game,negatif
bagus aplikasi bang lebih bagus semua karakter jabat lord luhutmba puan mba megawatikanjeung dimasfredysambo sudah segitu ulas saya ,positif
update lanjut tolong tambahin karakter soehardto pliss,negatif
tambahin puan mega  dev ,positif
bukan ngab owi,negatif
gua main rumah gua nya tiba tiba banyak tukang bakso,positif
jir ada jokowi,positif
tidak asik karakter cuman dikit sudah gitu skil nya sama,negatif
susah banget,positif
tolol lol,negatif
game nya bagusjokowi nya planga plongo njirrcoba karakter teroris ditambahin joe biden donald trump sumanto bossnya putin,positif
wah game nya bagus banget ,positif
minimal kalau awal level harus lawan nya mudah dulu baru main sudah lawan berapa orang ajg emangg,negatif
seru,positif
game meme favorite,positif
yo tidak tau kok tanya saya,positif
semangat devloper bikin game nya,positif
jokowi nya noob,negatif
wah game nya bagus banget,positif
apakah developer sudah punya jamin aman uu ite,positif
lmao pis kang  sedikit saran gwejh bisa bebas pilihambil senjata lawan sudah mati harga pakde jokowinya mahal banget kalo bisa diturunin hargannya terus darah boros banget tiba kurang sendiri padahal nggk ada ngelawan sama tambahin karakter megawati sama puan sudah saja terima kasih telah buat game moga luwh sehat selalu,positif
kapan update lagi min sudah tidak sabar saya mau hajar semua koruptor jahat game ,positif
sangat sangat yntkts,positif
halo pak jokowi ,positif
greget,positif
gg gaming gess,positif
maaf pake data tidak ya,netral
tiktok bukan ,positif
auah gelap ,positif
tidak bisa diinstal,negatif
jelek,negatif
gamenya bagus banget apa lagi pas pake ahok kbl kbl kbl bagus banget loh,negatif
,positif
jokowinya jelek tidak sopan,negatif
,positif
,positif
bintang,positif
baguss,positif
bang developer tolong tambahin bu mega biar makin seru tambahin level banyak juga terima kasih,positif
bintang satu buat jokowi,negatif
gabisa donlot anying,negatif
bagus bg ,positif
grafik nya bagus gameplay juga gampang sangat ramah hp kentang saran saya tambahin karakter baru yaitu lord luhut serta megawatzy,positif
bro tolong buat karakter samsudin broo,positif
game kandung tukang bakso sampai rumah saia banyak tukang bakso,negatif
sudah bagustp kurang mega chan sama mode ngutang,positif
kocak,positif
saya mau basmi para koruptor dpr cabulers,positif
kon,negatif
sementara saya kasih bitang duluklo sudah dimainin saya tambah bintang lagi,negatif
gua kecewa sama apk gua mau donload tidak punya kuota harus baik laggi apk nya biar gua punya kuota buat donload game,positif
bagus saya  yes tapi lain kali buat bisa mabar biar acimalaka,positif
kelazz,positif
bangga sama karya anak bangsa,positif
jokowi salto,positif
hanya indonesia presiden jadi game atau meme,positif
tolong tambah karakter soeharto,positif
bang napa musuh kebal semua pas saya tonjok tidak ada damage ya bang,netral
saya suka game,positif
apik,negatif
tidak bisa download,negatif
contoh contoh orang ken kasih sepeda,negatif
drh karakter lembek gilir musuh keras cih,negatif
bah kalo pilih presiden baru bagaimana paksa  ada karakter baru,positif
moga periode,positif
sementara saya beri bintang soal gabisa pake budguard nya cuman bisa,positif
game yah bagus tapi kasih tambah pak kumis kaisar hirohito,positif
game bagus tantang,positif
terus karya min ,positif
rem,positif
jelek,negatif
bagus gamenya,positif
game nya bagus tapi grafik nya kurang,positif
mboh,positif
game nya bagus cuman belum perna maen game saya hamya ikut komenan saja,negatif
maen game nya sambil makan jengkol goreng manteep,positif
ahog ,positif
game sangat kelas kayak duta kelas tapi kurang seru karena tidak bisa coba next level,positif
game nya bagus min tinggal tunggu update ikut tambahin karakter tuan mahalini,positif
kibar saya merdeka superemasii partai banteng merah,positif
jokowi,positif
download gar liat bg qorygore maen ,positif
kurang bu mega  sama pak luhut jhahaha v,netral
sangat inspiratif,positif
oke saja,positif
iya,positif
bagus ajg,positif
waw sangat emejing kalih telah main game jiwa periode saya tinggi yknts,positif
game tidak jelas njeng,negatif
gamenya bagus,positif
gg jokowi,positif
hulu ruksak,positif
komtolodong,negatif
mkst loh affh musuh pake senapan gwehj tangan kosong kata jokowi tokoh ahok,negatif
game apa cok gajelas,negatif
game bagus banget plis jangan blokir ya kominfo,positif
gamenya bagus tambah chr puan maharani ya bang,positif
owi,positif
game nya bgus bg cuma kadang agak bug tapi gpp semangat terus ya bikin game indonesia,positif
tidak bisa install,negatif
next update kasih karakter baru yaitu pak presiden soeharto,positif
bintang ultimatenya tidak sampe periode,negatif
telah main game saya rasa kalau anak bangsa punya bakat luar biasa mungkin tahun lagi game karya lokal bakal tingkat kualitas bahkan bisa lampau game kenal seperti gta san andreas bahkan platform seperti steam pun akan sepi ketar ketirr karena kalah denga game karya anak bangsa super epikk btw game jalan cerita bagus cerita orang mc juang sejahtera masyarakat mafia minyak goreng bansos,positif
kapan update nya,positif
gamenya lebay banget harus ada adegan masuk gorong gorong harus ada karakter megawati tompel gedein harus musuh sama habib riziq,negatif
bagai warga baik saya kasih bintang,positif
games nya bagus banget sedikit saran tambahin karakter presiden ,positif
game nya bagus bangett,positif
maenkan belum larang ,positif
tolong gamenya ada mode blusukan,positif
tidak ramah anak anak,negatif
jokowii,positif
bug fashion bukan tualang kaya tawur,negatif
tambah tsunade  kalo bisa,positif
good,positif
jokowi dsni tidak jadi tameng nya bu mega,negatif
game tidak jelas,negatif
saya kok tidak bisa install bang bom daftar pse kah,positif
saya kok gabisa install ,positif
nggk ada orang peduli lemah karakter misi pertama sudah kek lawan raja,negatif
tambah megawati puan tokoh pdip lai,positif
game saya cari cocok main alumni kos hikmah maupun mereka masih timba ilmu sana tapi aman tidak ada tukang bakso tiba mangkal depan rumah,positif
tidak sedikit,negatif
