ulasan,rating
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,5
Tetapi rewardnya gimana,1
game nya bagus. bagus di hapus👍,5
Game nya bagus lah,5
gamenya bagus tapi kalo bisa tambahin PSHT sama KERA sakti jadiin sama tambahin si sahroni jadi bos senjatanya si pialanya itu sendiri,1
"game nya ga bagus karna gw belum mainin, 😂 kalo jelek gw laporin developer nya karna gak bisa buat game minimal buat game yang hd , lah jangan Jokowi",3
jelek ah karakter nya kgk bisa comlay pake rinso🐽,1
"bagus, grafik juga oke",1
game nya bagus tapi ada kekurangan jokowi nya gk bisa ngomong wiwokdetok,4
TOLONG TAMBAHKAN SKIN JOKOWI PEMANCING DAN AHMAD SYAHRONI DENGAN ULTI,2
HIDUP JOKOWI,5
game aneh,2
bagus gamenya❤️,5
sangat keren,5
"game yang sangat bagus, kualitas nya melebihi flim karya anak bangsa terbaru, indonesia one for all",5
jokowi in big 2025 ❤💯❤️‍🩹❤️‍🔥 🔥🔥🔥🔥,5
"tolong kembalikan beberapa ciri khas dari game ini sebelum update besar, seperti nama nama boss yg unik, contohnya Heru Kelink, Maman, Ade Konde, dkk. Lalu dari mekaniknya lebih baik kembalikan seperti yg dulu, tidak ada kombo yg otomatis tapi itu yg membuatnya lebih menarik dan tidak monoton, kembalikan juga mekanik menghancurkan kotak dan barrel yg berisi senjata dan heal yg bisa digunakan, lalu ukuran map juga terlalu besar dan kamera terlalu jauh dari karakter lebih baik seperti yang dulu",1
hidup Jokowi🗣️,5
game sangat bagus sangat menginspirasi golongan mudah semoga game ini jadi game of the year,5
BUAT YANG OPEN WORLD BANG TEMA TEMA INDONESIA GITUUU👍,5
keren Banget game nya gokil abis saran Tambahkan Skin PSHT biar tambah rame ini game nya yang mainin dah segitu aja. Terimakasih sudah buat game bagus banget !,5
Terimakasih pak jokowi,5
"tolong update lagi lebih bagus dan tambahkan cerita,combo serangannya,map nya,atau bos nya tambahin sumpah game ini lumayan menarik dan seru😁",5
GOTY MENGALAHKAN SI BOTAK KEMBAR UNIVERSE,5
next buat petualangan prabowo bang,5
untuk developer semoga gak ilang ya bang wkwkwkwk,5
ya ya ya saya setuju kembangkan lagi gamenya,5
tidak ada gorong-gorongnya,2
petualangan mulyono😹,5
lebih bagus dari game upin ipin universitas wkwokwowkwkwowi,5
tolong di upgrade lagi dong ilangin pak ahoknya,5
burik,2
master piece,5
Mana part 2 nya,5
tolong buat developer buatkan jokowi vs prabowo dijamin 1jt yg download 🙏,3
gamenya bagus lebih dari petualangan game sebelah yang lebih banyak bug nya tingkatkan lagi game ini dan tambah lagi characternya dan juga skill nya yg lebih op,5
Mantap btw kapan ada Petualangan Jokowi 2?,5
gamenya bagus bang,5
gamenya lebih bagus dari pada Upin Ipin universe,5
"untuk mekanisme gamenya sangat keren & gokil, saran saya tolong tambahkan karakter : Bahlil, Luhut, Gibran, Natalius Pigai, Kaesang, sambo, sri Mulyani, Nasution.. dan tolong tambahkan elemen disetiap karakter, contohnya: bahlil memiliki elemen (Tambang) bisa mengeluarkan emas, batu bara, DLLNYA, seperti Gibran bisa berubah menjadi Robot AI, Seperti Luhut bisa mengeluarkan listrik, seperti Natalius Pigai menjadi Ambaruwoe Hytam",5
better than Upin Ipin game🤣🤣,5
Game terbaik yang saya mainkan selama 2025,5
"Gamenya sudah bagus dari segi grafik dan cerita, tapi untuk kontrol dan bug di perbaiki lagi, saya tidak nyaman dengan bug nya, apalagi jalannya lambat bgt. kontrol juga sangat lambat tidak sesuai pas ditekan agak delay dan kalo bisa gerakan nya diubah ke lari saja jangan jalan, soalnya lambat sekali",3
sengaja kasi bintang 1 karna hero mega chan alias mega Wati belum ada pliss di update biar makin rasa muaknya dengan pemerintah 👉👌👉👌👉👌💦,1
update jadi lebih keren dong,5
game nya bagus dan Hd beut tapi diperbaiki lah bodyguard nya masa saling adu jotos kan paok,5
sangat reqomendet,5
"game yang mantab, berasa kaya membangun dinasty kekuasaan. game yg lain lewat pokoknya 🔥🔥✊✊",5
"Jujur sj saya tdk merasakan unsur jokowi darimanapun selain skin nya....Tapi overall game sangat asik dan tidak ada reward/iklan yg mengganggu....Saran sy sih mgkin di last stage ada semacam hadiah upacara penobatan presiden stelah memusnahkan teroris.....Sekian trimxs,,🙏🙏 Terus semangat developer,,💪💪🔥🔥🙏🙏🤲🤲",5
game upon upon mahal mendinh ini,5
kalau main ini dijamin anda auto sigmaa,5
sangat bagus,5
mantap gamenya,5
game saya rekomendasikan karna bagus dan menantang dan unik sebaiknya di mainkan,5
"anjjj..Jokowi jamsut,awokawok, Prabowo PSHT,Ahok seluncur 😹😹😹,mantap Wak, teruskan,tambahin level nya dong btw",5
game yang sangat seru!!!,5
umat manusia harus tau game ini!!!,5
ENDINGNYA GAK ADA IJAZAHNYA GIMANA INI,5
"gamenya sangat bagus,keren banget pokoknya👍🏻🤓",5
"tolong updatean selanjutnya dibenerin bug nya, analog udah gerak tapi karakter jalan ditempat+ animasi gerakan kurangin pas selesai muku#lin orang gaya muternya lama, nambah nambahin level tapi demeg ma hp gaada rasa sama sekali, sampe bosen main game ulang ulang terus buat ngumpulin uang, eh malah gada rasa",1
"aseli kalo main ini game rasa sigmany kerasa guys kaya ngefly gitu, tak kasih bintang 5 wok.",5
Adminnya asik bjir,5
"sangat bagus, karena gim ini mengingatkanku pada kebaikan pakde jokowi",5
terimakasih pak jokowi🥹😢,5
"game keren, cocok dimainkan ketika pusing / mengantuk saat main HSR 👍",5
wong tuek nggo dolanan🤣🤣🤣,5
Jokowi sniper op,5
bagus,5
bgus,5
GAME OF THE YEAR YANSUNKAKIBIEB MY GOAT,5
"game bagus, bahkan lebih bagus dari hsr sm genshin 😍😍😍 grafiknya wow wow banget omggg, love u depeloper 😋",5
Jokowi pake sniper gimana ceritanya🤣,1
Jokowi nya op pake sniperr👍🏻,5
BANG TAMBAHIN KARAKTER FUFUFAFA,5
SERUU SERUU ☠️,5
hidup jokowiiiii,5
"belum login wok tapi ana kasing B5, terima kasih pak jokowii",5
Game apa ini dawg 💀🙏,5
ini adalah game terbaik yang pernah saya mainkan,5
game ny sangat bagus gamenya sangat bagus game nya sangat bagus,1
Level 9 rame banget woy 🥹,4
kontrol susah darahnya ga jelas,1
hidup jokowiii!!!!!,4
game apaan susah di mainin mati mulu,1
kapan updatenya kak.,5
game ny bagus tapi tolong tambahkan karakter nya,5
bagus aku suka jokowi 💗,5
Game terbaik sepanjang masa. Hidup Jokowiii !!!,5
"seru banget game Mulyono satu ini, dengan size ringan kita bisa belajar politik lebih dalam, harapan saya, ke depannya game ini menjadi open world, bertemakan kota Surakarta",5
keren gamenya....tambah lg karakter keluarganya mulyono,5
sangat2 menantang adrenalin dan membuat birahiku bergetar2💦💦,5
kerenn,5
mantap man,5
"Gamenya bagus,,😊👍tapi mohon boleh di tambahin karakter kaesang",5
game aneh kaya namanya,1
hama,1
heronya overpower,5
gg walau gajelas,5
incredible,5
bagus bang sekalian tambahin Presiden lainnya.,5
oke gas oke gas,2
game ini sangat bagus utk orang Indonesia dan tolong perbaiki bug aku udah beli Jokowi pas mau reset tiba tiba Jokowi ku hilang lagi kekunci lagi tapi game ini sangat bagus sekali,5
tambahin cerita dong min!,4
"Keren game nya, kalau boleh Req plis tambahin Mega dong untuk jadi boss nya pasti keren~",5
dari segi game play bagus tapi ada yang kurang kaya misalnya musuh pake senjata nah pas dia mati bisa diambil harusnya ya gitu aja sih dari aku anak kucai,3
Sagat asik,5
jejek,2
Game nya bagus,5
Grafiknya bagus dan bagus sekali gamenya,5
Nice,5
Plis sigma developer kasih aku +100000 aura biar menang ngelawan fanum tax soalnya ini terlalu Big L sangat tidak sah untuk di mainkan di luar ngeri jadi plis tambahin karakter Unnie sama YoungMe biar enak di lihat😭,1
Awoakawok petualangan mulyono,5
game sangat.... . buat dev untuk update kedepan kasih karakter baru bapak ma'ruf amin dan kasih skill diem tapi mematikan,3
bagus game nya,1
WOY GW UDAH DOWNLOAD KENAPA GA BISA DI MAININ SETIAP KALI LOADING KELUAR MULU MALAS BANGET MENDINGAN MAIN GAME BAYI AJA LAH DARI PADA MAIN GAME YANG NGELEG GINI!!!!!!!!!!!!!!!!!!!!!,1
Game nya seru terus ga pake paketan,5
Gibran mati masih bisa jalan,2
Tolong dong masa nge ULTI darahnya berkurang sih dan tolong update berikutnya ngultinya ada kuldon nya gak usah darah nya berkurang oke devoloper👍,4
pajril,1
Bagus,5
Game burik anj 😡😡😡😡😡🤬🤬🤬,1
geme yah bagus mantap,5
Ini sangat seru,5
Era prabowo skrg bang,1
Terlalu susah pengawal nya susah si musnahin,1
Jelek kyk jokowi,1
titik,5
Saran klo bisa tambahin Anies sama Rocky Gerung,3
mantap ada gibran,5
The basurd game ini sih🗿,5
game nya seru udah gitu aja gw males nulis,5
Game jelek def nya pasti SMP,1
saya suka game ini karna saya sigma skibidi 😹,5
"Mantapp gann, mungkin tambahin lagi karakternya min.... hallo admin ganteng",5
Bang coba tambahin kaya Megawati Ganjar Anies bj habiebie Soekarno semangat bang,5
"Gamenya Ngawurr poll, mantapp 😁 lain kli bikin yg lebih ngawur Dev👍 AHoK njir😹😹",5
Mantep nih game nya tapi agak laen🗿,5
Developer dungu,1
game nya bagus 😁,5
Ahoknya bengak,1
"Bagus sih, cuma gime nya terlalu susah coy pdhl baru lvl pertama 🗿",4
Anjirr lahh😆,5
"GAMENYA SANGAT MENGGAMBARKAN KEBUDAYAAN INDONESIA, DIMANA TANGAN DICIPTAKAN UNTUK PUKUL PUKULAN. DEVELEPOR TERBAIK",5
Petualangan pak jokowi seru banget,5
Lah ko ada bakso,4
Menghibur sekali,5
Aku mau seprei gratis 😭😭😭😭😭😭😭,5
Gk ada fitur seks,5
jokowi for 10 periode,5
Game nya bagus banget tapi kekurangan game ini engak ada lv baru nya mohon banget semoga updet,5
Game nya bagus banget njirrrrr😘😘,5
seru banget tapi tambahin sukarno,5
Susah bgt gameny,1
"keren, awokawkokwok",5
Game keren pak jokowi bisa salto,5
Gem nya bagus aku taro bintang 5,1
Bagus bang karakter tapi sayang cuma sedikit karakternya Dan kasih dulu tutornya,5
Aku suka,5
Mungkin ini sangat membantu Anda aplikasi ini seperti nya bagus....!!!!!,5
"Saya bangga menjadi rakyat Indonesia 🇮🇩 semoga negara Republik Indonesia dari Sabang sampai Merauke selalu dalam lindungan Allah SWT Aamiin yaa Allah Aamiin 🤲🤲,🤩😍❤️👍",5
"gak bagus ada nuansa politik nya gak netral,error , masa polisi di tembakin terus sampai mati,gak bisa ngelawan,ini game sangat buruk",1
Mat ngarit,5
Gamenya sangat tolol,1
🤣🤣🤣,5
"Untuk admin Musuhnya Harusnya ditambah seperti Helena Lim, Harvey Mois, dkk Yg lainya. Biar lebih seru lagi",3
"Kapan bikin sekuel,sekalian masukin telur windaw batubara biar rame",5
Game nya bagus banget,5
Gk jelas game nya,2
Game nya sangat bagus sekali,5
"Harusnya di awal main di kasih tutor dlu, harus ngapain untuk bisa melanjutkan misi selanjutnya, segera perbaiki",1
"Segi game bagus, karya anak bangsa harus di apresiasin dan terus di kembangkan, bagus walau ada beberapa bug",5
Game pepek,1
Game Indonesia mantap,5
Game nya the best. Salut sama game lokal,3
Games ini sangat baik untuk bisa jadi orang sukses,5
Gamenya keren tapi tolong karakter nya ditambah,5
"Game nya udah bagus min,tambahin juga level ny biar seru",5
Gamenya bagus banget ada susah ada gampangnya keren pokoknya. Tapi levelnya masih dikit diupdate lagi gamenya level nya banyakkin karakternya tambahin powerupnya juga ditambah itu aja sih semoga diupdate besar2an,5
"grafik burik, sakit mata",1
Udh win ah lawan HERU KELINK ga ada lanjutannya lagi? seru jink,5
Game nya bagus keren bet dah wajib download Btw aman GK nih takut ada tukang bakso 🗿🗿🗿🗿🗿🗿🗿,5
Waduh😅,5
Game nys bagus tapi banyak yang bug dan kurang P U A N dan M E G A C A N Uwuwww,5
Game gimick,1
Game sangat seru sungguh menghibur 🥶🥶🥶,5
gk bsa di download.,1
Gambar Jokowi memang keren kamu ini keren Sumpah aku senang,5
Kok gak ada megawati,5
Adalah munculnya kelompok-kelompok masyarakat dan tidak mudah bagi kita yang wajib diketahui dan tempe bacem dan tempe bacem yang wajib diketahui dan tempe bacem dan tempe bacem yang wajib diketahui pecinta musik yang dimulai pada tanggal Kamis dan Jumat dan tidak tahu bagaimana cara mendapatkan backlink gratis yang bisa kita yang wajib diketahui dan tempe bacem dan tempe bacem yang wajib diketahui tidak ada komentar yang baik dan tempe dan tidak mudah bagi kita yang wajib diketahui pecinta Musi,5
😂😂😂😂😂😂😂🙏🤝🤜🤛🤜🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛🤛👊🙏ini game keren bet dah hhahah,5
Bagus guys permainannya buruan donlowad deh pasti nagih 🖒🖒🖒🖒😎😎😎,5
Gemya sangat bagus sekali,5
Aku takutttt,5
bagus tingkatkan bakatmu tapi lebih bagus tambahkan BANTENG MERAH,5
Game nya gak biya di dowload,3
Gamenya bagus buat isi waktu luang😉,5
Worti,4
Enak banget nih game,5
Gak bisa Install,1
game nya bagus tolong banyakin lagi karakter nya bangg plisss,5
"Gk ad penjahat megawati nya gak seru,terus tambahin pitur lawan bos koruptornya utamakan Puan sama mega bos terkuatnya",5
😍😍😍,3
Gemnya bagus,5
Ok dah,5
Keren,5
Helo Developer pembuat game petualangan Jokowi 🙏🏻1 Kenapa kita dikasih senjata biasa saja sedangkan bos yang pakai kacamata hitam sedangkan dia pakai tongkat bola bisbol Apakah itu curang? :)2 kenapa Bos yang pakai kacamata hitam itu penambahan darahnya cepet banget 3 kalo dia kabur saya tembak atu pakai pisau atu Katana itu tembus Apa itu diluar Nalar🤔 udah itu dari saya sebenarnya Gem anda bagus tapi banyak kekurangannya,4
gema yang ane,5
Gatau Belum Coba 🗿,5
Keren👊,5
ini geme seru panter buat nunggu buka puasa,5
"Weh ngawwuoor Iki game, sopo Ki seng nggawe 😂🤣🤣",1
Keren cuy kwkwkkwk,5
"gamenya keren ,btw developer aman?🗿🗿🗿🗿🙏🙏🙏",5
Mohon ditingkatkan lagi🙏 Kalo game nya kaya free fire/mobile legend lebih seru,4
min coba tambahin karakter Jesus supaya bisa Jokowi vs jesus,5
nama nya menghina JokoWi,4
Payah ini namanya penghinaan presiden,5
Bang saran tambahin megachan,5
Mekaniknya lumayan seru dan juga cukup sulit mantap dah,5
Game nya emang udah di ijin nin sama bapak jokowi,2
Ko gabisa di install,1
Terasa banget makar nya,5
Kayaknya kalau game ini dijadikan konten YouTube pasti keren nih,5
gabisa diinstal awokwk,1
Harusnya di tambah karakter pemimpin PKI Tn aidit,5
"Game nya bagus seru lagi bisa bikin emosi, pesan buat yang bikin game ini hati-hati nanti di ciduk Intel",5
Kasih ultimate bansos ngab,1
Tidak bisa dibanding bandingke peran pertama orang Indonesia,5
Yg penting jokowi,5
Game apa sih ini ajg kok ada jokowi.tapi gpp lah seru sedikit,5
Game ini bagus bngt anak saya suka main ny,5
Anjir ngakak cok jokowi 🗿dalam game🗿,5
Bagus banget,5
Ezzz bet,3
Anjasss ngab owiii cuyyy,5
Game nya bagus banget rekomendasi baut di mainkan,5
"Tambah karakter lain dong,msh ada bu mega,puan,dll",4
tambahin boss battle lawan Megawati Puan Ferdy sambo,5
Gpp sih,3
Kamu nanya,5
Gue kasih bintak lima karna ini gema bagus,5
semangat pakde,5
Bikinin game petualangan Jokowi nyalon capres 3 periode,4
"Game nya burik bgt dan buriknya lebih dari game seblah,gak bisa di download",2
Gajelas jokowinya,1
SIAP 3 PERIODE,5
ini permainan annya sant seru petualangan jokowi,5
Intinya bagus,5
Lumayan,3
Ampas Jokowi Masi digembok mending buat karakter Maruf amin,1
Apakah ada pertarungan antara PDI VS GOLKAR?,5
Hegs,5
"Gamenya seru ada karakter pak jokowinya, tambahin lagi levelnya biar makin seru",5
Jokowi gaada dameg nya bg 😠😠😠😠😠,4
Grafiknya bagus kalau nonong,5
Bugus,1
B ajh,5
Tolong bantu saya cepattin download nya ya terima kasih saya minta tolong cepattin download nya ya terima kasih,5
game bagus tapi agak ngebag segdikit,4
Kerenn bgt... Kalo bisa di tambah lagi karakternya bang,5
Ga jeas gamenya,1
FBI Dsini,5
Nice pak Jokowi,5
Bagus game nya sangat hd,1
"Game nya bagus dah tu aja ya adek""",5
good,5
Sedikit Saran kalau bisa di tambahin Megawati Jual pulau eh,5
gamenya seru+lucu ngakak wkwkwkwk tolong bang tambahkan lagi levelnya plis bang,5
Tolong tambahkan buk puan,5
Yang penting rating,5
Gajelas,1
So bakso,4
"Hello perkenalkan saya cherry. saya mencoba memainkan game ini. overall game ini saya rating 9.5/10 tapi saya kasi bintang 5,game ini lumayan seru untuk di mainkan,tetapi ada banyak bug,tolong segara di perbaiki ya,saya suka memainkan game ini dan sangat menghibur saya dan membuat saya tertawa,saya juga merekam dan memainkan game ini. walaupun saya kasi short cut di vid nya. mungkin kapan kapan saya akan post,terima kasih game ini walau bikin saya cape tapi giving me joy gitu paham lah ya,thx !",5
GAMEEE NYAA SERUUU SKKSKSKSKS,5
Ok,5
Game paling keren karya anak bangsa 👍👍👍😊😊😊🥰,5
"Ahok nya keren dan bagus banget untuk awal awal, Karakter Pak Jokowi dan Prabowo juga ga kalah bagus untuk dipakai dalam pertempuran... Next update tolong pak Prabowo skillnya bisa summon TNI",5
Kamu nanya game nya bagus atau gk,5
Gem ini sangat memuaskan,4
"Game nya bagus banget, tapi ga tau kenapa setiap saya memainkan game ini kok tiba-tiba ada tukang baso lewat ya😁😁",5
Seru karena ada jokowi,5
Asik nih game tapi agak ada yg ngebug,5
Game burik aku aja baru cobain pokoknya jangan download titk,1
Mantap semangat,5
Saya merasa jadi super Jokowi,5
Game nya bagus banget sh hahah,3
Game nya baguss,5
Anjay ni game seru bet gua langsung kasih bintang 5 dah seru bet!!!!!!!!!,5
Tidak bisa main game ini,1
"Keren aplikasi bang lebih bagus semua karakter pejabat lord luhut,mba puan, mba megawati,kanjeung dimas,fredysambo udah segitu ulasan dari saya 🗿🗿🗿🗿🗿🗿🗿",5
update selanjutnya tolong tambahin karakter soeHardto plissss....😋,1
Tambahin puan dan Mega dong dev hehe,5
bukan ngab owi,1
Gua main ini di rumah gua nya tiba tiba banyak tukang bakso🗿🗿🗿🗿🗿🗿🗿,5
Jir ada Jokowi,5
ga asik karakternya cuman dikit udah gitu skil nya sama,2
susah bgt,5
Tolol dan lol,1
"Game nya bagus!!Jokowi nya planga plongo njirr..coba karakter terorisnya ditambahin joe biden, donald trump, sumanto.. Dan bossnya Putin",5
Wah game nya bagus banget 😍😍😍👍👍👍👍👍........,5
Minimal kalau awal level harusnya lawan nya mudah dulu Ini baru main udah lawan berapa orang ajg emanggg,1
Seru,4
Game meme favorite,5
Yo Ndak tau kok tanya saya,5
Semangat devloper bikin game nya,5
Jokowi nya noob,1
Wah game nya bagus banget,5
Apakah developernya sudah mempunyai jaminan aman dari UU ITE ?,5
"LMAO PISAN KANG 🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓, sedikit saran dari gwejh, bisa bebas pilih/ambil senjata dari lawan yang udah mati, harga pakde jokowinya mahal banget kalo bisa diturunin hargannya, terus darahnya boros banget dan tiba2 berkurang sendiri padahal nggk ada yang ngelawan, sama tambahin karakter Megawati sama puan🗿🗿🗿🗿🗿🗿🗿, dah itu aja, terima kasih telah membuat game ini. Semoga luwh sehat selalu🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓",5
Kapan update lagi min ? Udah gak sabar saya mau menghajar semua koruptor dan penjahat di game ini 👊👊,5
SANGAT SANGAT YNTKTS,5
Halo pak Jokowi 👍👍⭐⭐⭐⭐⭐👋👋😹😹😄😄😄,5
Greget,5
GG gaming gesss,5
Maaf ini pake data gak ya???,3
Ini yg di TikTok bukan sih,5
auah gelap 🤣,5
Gk bisa diinstal,1
jelek,1
Gamenya bagus banget apa lagi pas pake ahok kbl kbl kbl keren banget loh😅👆,1
👍👍👍👍👍,5
Jokowinya burik ga sopan,1
😎,5
👌,5
Bintang 5,5
Bagusssssssssss,5
Bang Developer tolong tambahin bu mega biar makin seru tambahin level yang banyak juga Terima kasih,5
Bintang satu buat jokowi,1
Gabisa di donlot anying,1
keren bg 🗿👍,5
"Grafik nya bagus, gameplay juga gampang, sangat ramah untuk hp kentang. Saran saya tambahin karakter baru, yaitu Lord Luhut, serta MegawaTzy.",4
Bro tolong buat karakter Samsudin broo,5
"Game ini mengandung tukang bakso, sampai² di rumah saia banyak tukang bakso",1
"Udah bagus,tp kurang mega chan sama mode ngutang",4
Kocak,4
Aku mau membasmi para koruptor dan DPR cabulers,5
kon***,1
"untuk sementara saya kasih bitang 1 dulu,klo udah dimainin saya tambah bintang lagi",1
Gua kecewa sama apk ini gua mau donload gak punya kuota harusnya di perbaiki laggi apk nya biar gua punya kuota buat donload game ini,5
"bagus aku sih yes, tapi lain kali dibuat bisa mabar biar acimalaka",5
Kelazzzzzzzzzzzzz,5
Bangga sama karya anak bangsa,5
Jokowi Salto,5
Hanya di Indonesia presiden di jadikan game atau meme🤣,4
Tolong tambahkan karakter soeharto,5
Bang Napa musuhnya kebal semua pas gw tonjok gak ada damage ya bang,3
aku suka game ini,5
Apik,2
Gak bisa download,1
Contoh contoh orang yg pengen di kasih sepeda,1
Drh karakter lembek giliran musuh keras cih,1
Bah. Kalonya pemilihan presiden yang baru ini bagaimana. Terpaksa lah ada karakter baru.,4
Semoga 45 periode,5
sementara aku beri 4 bintang soalnya gabisa pake budguard nya cuman bisa 1,4
Game yah bagus tapi kasih tambah pak kumis dan kaisar Hirohito,5
Game ini bagus dan menantang,5
Terus berkarya min 😊☺️😊,5
Kerem,5
